"","Ticker","Owner","Relationship","Date","Transaction","Cost","NumShares","ValueDollar","NumSharesTotal","SECForm4"
"1721","GOCO","Cruz Brandon M.","Chief Strategy Officer",18702,"Buy",11.38,178000,2025462,221817,NA
"1722","VG","RUTHERFORD RANDY K.","Chief Legal Officer",18701,"Option Exercise",0,11737,0,232528,NA
"1723","WDAY","Fernandez Gomez Luciano","Co-CEO",18701,"Sale",249.27,3351,835319,215000,NA
"1724","WDAY","Fernandez Gomez Luciano","Co-CEO",18702,"Sale",257.37,3993,1027683,211007,NA
"1725","AMKR","Rutten Guillaume Marie Jean","President and CEO",18701,"Option Exercise",9.72,15000,145762,434375,NA
"1726","AMKR","Rutten Guillaume Marie Jean","President and CEO",18701,"Sale",22.47,15000,337050,425000,NA
"1727","LBRDA","Wendling Brian J","CAO/PFO",18701,"Buy",26.75,3700,98975,15200,NA
"1728","MYE","DEFEO RONALD M","Director",18702,"Buy",19.8,10000,198000,35850,NA
"1729","AVY","Anderson Anthony","Director",18701,"Sale",181.64,1100,199799,1932,NA
"1730","GOCO","Jones Clinton P.","Chief Executive Officer",18702,"Buy",11.38,178000,2025462,221817,NA
"1731","VG","LEVI DAVID","SVP, Controller & PAO",18701,"Option Exercise",0,5086,0,82067,NA
"1732","SGH","Marten Alan","Senior Vice President",18701,"Option Exercise",11.55,3250,37538,118916,NA
"1733","SGH","Marten Alan","Senior Vice President",18701,"Sale",45.95,3250,149343,115666,NA
"1734","NOVA","Grasso Michael P","See Remarks",18702,"Sale",38.65,4878,188535,25712,NA
"1735","TFX","Hicks Cameron P","Corp. VP & Chief HR Officer",18701,"Option Exercise",103.07,3326,342806,11604,NA
"1736","TFX","Hicks Cameron P","Corp. VP & Chief HR Officer",18701,"Sale",421.01,3000,1263040,8604,NA
"1737","KDP","Whitmore Justin","Chief Strategy Officer",18701,"Buy",33.3,37384,1244968,68995,NA
"1738","EA","Bruzzo Chris","Chief Marketing Officer",18701,"Option Exercise",37.02,19000,703380,41975,NA
"1739","EA","Bruzzo Chris","Chief Marketing Officer",18701,"Sale",130.19,21500,2798993,20475,NA
"1740","SWK","Wyatt John H","SVP & Pres., Outdoor&Aerospace",18701,"Option Exercise",94.71,30000,2841300,74432,NA
"1741","SWK","Wyatt John H","SVP & Pres., Outdoor&Aerospace",18701,"Sale",192.84,30000,5785188,44432,NA
"1742","KDP","Hopkins Herbert Derek","President, Cold Beverages",18701,"Option Exercise",0,578400,0,855088,NA
"1743","KDP","Gamgort Robert James","CEO & Chairman",18701,"Option Exercise",0,3470393,0,4819989,NA
"1744","QSR","Machado Fernando","Chief Marketing Officer",18701,"Option Exercise",31.65,173701,5498064,185693,NA
"1745","QSR","Machado Fernando","Chief Marketing Officer",18702,"Option Exercise",42.26,719,30385,65922,NA
"1746","QSR","Machado Fernando","Chief Marketing Officer",18702,"Sale",64,571,36544,65351,NA
"1747","QSR","Machado Fernando","Chief Marketing Officer",18701,"Sale",64.01,120490,7712565,65203,NA
"1748","ENZ","HARBERT MANAGEMENT CORP","10% Owner",18701,"Sale",4.83,144768,698840,5475913,NA
"1749","ENZ","HARBERT MANAGEMENT CORP","10% Owner",18702,"Sale",4.65,3e+05,1393900,5175913,NA
"1750","KDP","Dokmecioglu Ozan","CFO & President, International",18701,"Option Exercise",0,1561678,0,2120795,NA
"1751","ADI","GLIMCHER LAURIE H M.D.","Director",18702,"Sale",154.07,460,70874,600,NA
"1752","ZUMZ","Work Christopher Codington","Chief Financial Officer",18701,"Option Exercise",17.7,2973,52622,45465,NA
"1753","ZUMZ","Work Christopher Codington","Chief Financial Officer",18701,"Sale",45.13,2973,134171,42492,NA
"1754","GRPN","Drobny Dane A","Chief Admin Officer, GC & Sec",18701,"Option Exercise",0,3622,0,69797,NA
"1755","HTLF","FULLER LYNN B","Executive Operating Chairman",18702,"Option Exercise",52.06,2376,123695,280112,NA
"1756","SYX","Shetty Manoj","SVP & Chief Info Officer",18701,"Option Exercise",16.43,292,4798,6148,NA
"1757","SYX","Shetty Manoj","SVP & Chief Info Officer",18702,"Option Exercise",16.43,6708,110212,12463,NA
"1758","SYX","Shetty Manoj","SVP & Chief Info Officer",18702,"Sale",38.25,6708,256581,5755,NA
"1759","SYX","Shetty Manoj","SVP & Chief Info Officer",18701,"Sale",38.07,393,14963,5755,NA
"1760","AGYS","Biswas Prabuddha","CTO & SVP of Technology",18702,"Sale",60.28,2500,150700,71849,NA
"1761","EXP","Haack Michael","President & CEO",18701,"Option Exercise",75.69,10918,826383,56695,NA
"1762","EXP","Haack Michael","President & CEO",18701,"Sale",133.12,10918,1453418,51293,NA
"1763","CVS","Boratto Eva C","EVP & CFO",18702,"Option Exercise",74.29,18882,1402744,89964,NA
"1764","CVS","Boratto Eva C","EVP & CFO",18702,"Sale",74.68,18882,1410108,71082,NA
"1765","ADI","Henderson Gregory N.","SVP, Atmtve, Comm, ArSpc & Def",18701,"Option Exercise",0,1231,0,7754,NA
"1766","SAIL","Schmitt Christopher","General Counsel and Secretary",18702,"Option Exercise",3.17,730,2314,48507,NA
"1767","SAIL","Schmitt Christopher","General Counsel and Secretary",18702,"Sale",55,730,40150,47777,NA
"1768","AKTS","Boller Kenneth","Interim CFO",18703,"Sale",13.99,1442,20174,73158,NA
"1769","SFIX","Smith Mike C.","Director",18701,"Sale",57.46,40000,2298535,47356,NA
"1770","ADI","Sondel Michael","CAO (principal acct. officer)",18701,"Option Exercise",0,632,0,4950,NA
"1771","AVID","Ruzicka Dana","SVP & GM Audio and Music",18703,"Sale",20.33,36833,748675,327951,NA
"1772","TTC","Ellis Gary Lee","Director",18701,"Option Exercise",13.24,10048,133036,40500,NA
"1773","TTC","Ellis Gary Lee","Director",18701,"Sale",102.9,10048,1033959,30452,NA
"1774","AKTS","Houlden Rohan","Chief Product Officer",18701,"Sale",13.82,1375,19002,135022,NA
"1775","INVA","Innoviva, Inc.","Director",18703,"Buy",3.25,4285935,13929289,6153847,NA
"1776","TTC","ETTINGER JEFFREY M","Director",18701,"Option Exercise",13.24,10048,133036,60311,NA
"1777","AKTS","Shealy Jeffrey B.","Chief Executive Officer",18701,"Sale",13.83,1e+05,1383000,1036239,NA
"1778","AKTS","Shealy Jeffrey B.","Chief Executive Officer",18702,"Sale",13.32,1e+05,1332000,936239,NA
"1779","XYL","TAMBAKERAS MARKOS I","Director",18701,"Sale",102.02,5000,510106,33062,NA
"1780","ADI","Mahendra-Rajah Prashanth","SVP, Finance & CFO",18701,"Option Exercise",0,1779,0,14530,NA
"1781","EPAM","Shnayder Boris","SVP/Co-Head of Global Business",18701,"Option Exercise",74.11,1250,92638,6303,NA
"1782","EPAM","Shnayder Boris","SVP/Co-Head of Global Business",18701,"Sale",368.12,1250,460150,5053,NA
"1783","BHVN","CHILDS JOHN W","Director",18703,"Buy",76,13157,999932,2545801,NA
"1784","GM","Parks Douglas L","Executive Vice President",18701,"Option Exercise",35.87,57268,2054482,89727,NA
"1785","GM","Parks Douglas L","Executive Vice President",18701,"Sale",59,97411,5747159,26808,NA
"1786","SAIL","McMartin James Cameron","Director",18701,"Sale",54.5,5000,272499,44197,NA
"1787","U","Jabal Kim","SVP and CFO",18701,"Option Exercise",8.95,10050,89948,49300,NA
"1788","U","Jabal Kim","SVP and CFO",18701,"Sale",108.37,10050,1089160,39250,NA
"1789","ENS","Shaffer David M","President & CEO",18701,"Option Exercise",57.64,76780,4425955,274324,NA
"1790","UDR","ALCOCK HARRY G","SVP-Chief Investment Officer",18701,"Sale",45.34,15000,680172,67667,NA
"1791","UDR","TOOMEY THOMAS W","Chairman and CEO",18702,"Sale",45.53,40000,1821103,1203726,NA
"1792","CAR","DeGenova Cathleen","Chief Accounting Officer",18701,"Option Exercise",0,407,0,1430,NA
"1793","FSLY","Bergman Artur","Chief Architect, Exec. Chair",18701,"Sale",75.94,14423,1095221,335319,NA
"1794","SYRS","Olson Eric R","Chief Scientific Officer",18701,"Option Exercise",1.01,3628,3664,3628,NA
"1795","SYRS","Olson Eric R","Chief Scientific Officer",18701,"Sale",9.47,3628,34372,0,NA
"1796","OKTA","Runyan Jonathan T","General Counsel and Secretary",18701,"Option Exercise",0,7013,0,4865,NA
"1797","OKTA","Runyan Jonathan T","General Counsel and Secretary",18702,"Sale",228.81,3524,806327,700,NA
"1798","FLGT","Xie Jian","Chief Operating Officer",18701,"Sale",104.1,3000,312300,342476,NA
"1799","CAR","Sera Jean M","SVP, GC & Corp. Sec.",18701,"Option Exercise",0,3615,0,20449,NA
"1800","SAIL","McClain Mark D.","CEO and President",18701,"Sale",55.47,20000,1109400,1062571,NA
"1801","MMSI","Frost Ronald","CHIEF OPERATING OFFICER",18702,"Sale",60.6,5000,303000,2343,NA
"1802","NET","Zatlyn Michelle","President and COO",18702,"Sale",75.39,33350,2514295,0,NA
"1803","NET","Zatlyn Michelle","President and COO",18703,"Sale",73.21,33350,2441574,0,NA
"1804","ALTR","JRS Investments LLC","10% Owner",18703,"Sale",60.25,4010,241584,0,NA
"1805","AIRC","Beldin Paul","Executive Vice President - CFO",18702,"Sale",44.85,7500,336372,76038,NA
"1806","SPLK","Tully Timothy","SVP, Chief Technology Officer",18702,"Sale",140.84,10391,1463468,105498,NA
"1807","SPLK","Merritt Douglas","President and CEO",18702,"Sale",140.83,11222,1580428,244237,NA
"1808","SPLK","Emanuelson Timothy","Chief Accounting Officer",18702,"Sale",140.01,354,49564,19923,NA
"1809","TTD","Pickles David Randall","Chief Technology Officer",18702,"Option Exercise",126.83,1649,209144,47596,NA
"1810","TTD","Pickles David Randall","Chief Technology Officer",18702,"Sale",764.3,1649,1260331,46721,NA
"1811","AJG","Pietrucha Susan E","Chief Human Resources Officer",18703,"Option Exercise",0,4600,0,11932,NA
"1812","JOAN","Joyce Michael Sagar","See Remarks",18702,"Buy",12,2000,24000,2000,NA
"1813","JOAN","Will Robert","SVP, Chief Merch. Officer",18702,"Buy",12,5000,60000,5000,NA
"1814","MRUS","BVF PARTNERS L P/IL","10% Owner",18702,"Buy",23,250000,5749900,3566396,NA
"1815","JOAN","Miquelon Wade D","President and CEO",18702,"Buy",12,55000,660000,55000,NA
"1816","JOAN","Aber Ann","SVP, GC & Secretary",18702,"Buy",12,1500,18000,1500,NA
"1817","JOAN","Duliga Janet","SVP, Chief Admin. Officer",18702,"Buy",12,3500,42000,3500,NA
"1818","JOAN","DiTullio Christopher","SVP, Chief Customer Officer",18702,"Buy",12,8500,102000,14941,NA
"1819","JOAN","Susz Matthew B.","SVP, CFO",18702,"Buy",12,15000,180000,15000,NA
"1820","JOAN","Chennakrishnan Varadheesh","SVP, CIO",18702,"Buy",12,10000,120000,10000,NA
"1821","NEN","Brown Jameson Pruitt","Treasurer",18702,"Buy",55.05,2500,137625,512849,NA
"1822","ALRM","BEDELL JEFFREY A","Chief Strategy & Innovation",18702,"Sale",91.09,800,72872,456654,NA
"1823","ALRM","BEDELL JEFFREY A","Chief Strategy & Innovation",18703,"Sale",88.55,12200,1080275,444454,NA
"1824","JOAN","Hejcl Sharyn M","See Remarks",18702,"Buy",12,4500,54000,4500,NA
"1825","JOAN","Webb Darrell","Director",18703,"Option Exercise",2.92,195732,571537,402321,NA
"1826","NTRA","Brophy Michael Burkes","CHIEF FINANCIAL OFFICER",18702,"Sale",110.23,2234,246254,63370,NA
"1827","AQUA","Lamb Martin","Director",18702,"Sale",26.84,55000,1476266,10948,NA
"1828","AQUA","Lamb Martin","Director",18702,"Sale",27.02,20000,540370,119711,NA
"1829","CSV","Phillips Shawn R","Senior Vice President",18704,"Buy",36.2,1000,36200,78553,NA
"1830","GL","HUTCHISON LARRY M","Co-Chaiman & CEO",18703,"Option Exercise",53.61,12000,643320,727112,NA
"1831","GL","HUTCHISON LARRY M","Co-Chaiman & CEO",18703,"Sale",100.42,12000,1205085,715112,NA
"1832","CRON","ADLER JASON MARC","Director",18703,"Sale",10.07,714759,7194550,8165072,NA
"1833","H","Sears Peter","See Remarks",18703,"Option Exercise",52.11,21199,1104703,20864,NA
"1834","H","Sears Peter","See Remarks",18703,"Sale",89.51,8856,792701,6772,NA
"1835","CRON","GORENSTEIN MICHAEL RYAN","Executive Chairman",18702,"Option Exercise",2.58,1813541,4676676,9967774,NA
"1836","KELYA","Thirot Olivier","Executive Vice President",18702,"Sale",22.07,7000,154500,88536,NA
"1837","ZS","Schlossman Robert","Chief Legal Officer",18703,"Sale",183.85,2514,462189,131154,NA
"1838","SDGR","Weiser Jorg","EVP &  Managing Director",18702,"Option Exercise",3.41,24622,83879,181511,NA
"1839","SDGR","Weiser Jorg","EVP &  Managing Director",18702,"Sale",82,61682,5057924,126356,NA
"1840","SDGR","Weiser Jorg","EVP &  Managing Director",18703,"Sale",78.71,9304,732311,117052,NA
"1841","NAII","Dunn Alan G","Director",18702,"Option Exercise",3.52,10000,35200,63328,NA
"1842","NAII","Dunn Alan G","Director",18702,"Sale",16.63,2117,35206,61211,NA
"1843","GL","COLEMAN GARY L","Co-Chairman & CEO",18703,"Option Exercise",53.61,12000,643320,646702,NA
"1844","GL","COLEMAN GARY L","Co-Chairman & CEO",18703,"Sale",100.96,12000,1211472,634702,NA
"1845","EXPI","MILES RANDALL D","Director",18703,"Option Exercise",0.88,30000,26400,330080,NA
"1846","EXPI","MILES RANDALL D","Director",18703,"Sale",53.08,30000,1592534,300080,NA
"1847","Y","Wong Raymond","Director",18703,"Option Exercise",314.9,523,164693,8104,NA
"1848","AMC","COX CHRIS A","SVP & CHEIF ACCOUNTING OFFICER",18702,"Sale",12.86,29068,373814,42000,NA
"1849","WMG","Lousada Max","CEO, Recorded Music",18702,"Sale",33.25,484460,16108295,1598784,NA
"1850","LEAF","Wergeles Adam F.","EVP, Gen Counsel & Secretary",18703,"Sale",7,775,5425,162800,NA
"1851","DDOG","OBSTLER DAVID M","Chief Financial Officer",18702,"Sale",88.55,10000,885504,125000,NA
"1852","MDC","Siegel David","Director",18703,"Sale",59.47,8129,483432,13928,NA
"1853","AI","TPG Group Holdings (SBS) Advis","10% Owner",18702,"Sale",85.62,264161,22616845,14195656,NA
"1854","CVEO","Torgerson Lance","10% Owner",18702,"Sale",18.12,12014,217694,488159,NA
"1855","CVEO","Torgerson Lance","10% Owner",18703,"Sale",17.63,12098,213288,487759,NA
"1856","CVEO","Torgerson Lance","10% Owner",18704,"Sale",17.54,8954,157053,487463,NA
"1857","HSTM","REBROVICK LINDA","Director",18702,"Option Exercise",0,2610,0,43158,NA
"1858","NEE","May James Michael","VP, Controller  and CAO",18703,"Option Exercise",45.65,2664,121612,12508,NA
"1859","NEE","May James Michael","VP, Controller  and CAO",18703,"Sale",75,6031,452325,6477,NA
"1860","PPD","SIMMONS DAVID S","Chief Executive Officer",18703,"Sale",38,22935,871530,670760,NA
"1861","AKAM","Williams Anthony P","EVP and CHRO",18703,"Sale",99.52,2300,228896,7056,NA
"1862","ALTO","Jones William L","Director",18703,"Sale",5.98,20000,119600,159521,NA
"1863","PPD","Johnston David Michael","See Remarks",18703,"Option Exercise",10.59,21598,228723,57005,NA
"1864","PPD","Johnston David Michael","See Remarks",18703,"Sale",38,21598,820724,35407,NA
"1865","MRKR","Walker Paul Edward","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1866","MRKR","Sonsini Peter W.","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1867","ATHX","Lehmann William JR","Interim CEO",18704,"Sale",1.91,25000,47742,418836,NA
"1868","MRKR","SANDELL SCOTT D","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1869","ABR","Green William C","Director",18704,"Buy",16.6,3590,59604,116361,NA
"1870","QTWO","Breeden John E","Chief Operating Officer",18702,"Sale",112.33,3714,417194,71613,NA
"1871","QTWO","Benton Barry G","SVP, General Counsel",18702,"Sale",112.31,1403,157571,23107,NA
"1872","MRKR","MAKOWER JOSHUA","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1873","QTWO","Price Jonathan","EVP, Emg Bus, Corp & Bus Dev",18702,"Sale",112.4,1155,129822,25449,NA
"1874","QTWO","Flake Matthew P","President and CEO",18702,"Sale",112.27,15679,1760281,216652,NA
"1875","MRKR","Makhzoumi Mohamad","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1876","MRKR","Florence Anthony A. Jr.","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1877","MRKR","Chang Carmen","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1878","TDOC","Geshuri Arnnon","Chief Human Resources Officer",18702,"Option Exercise",2.73,350,956,97267,NA
"1879","TDOC","Geshuri Arnnon","Chief Human Resources Officer",18702,"Sale",205,350,71750,96917,NA
"1880","MRKR","Behbahani Ali","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1881","MRKR","BASKETT FOREST","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1882","CTHR","SYKES OLLIN B","Director",18702,"Buy",2.79,63500,177250,1356000,NA
"1883","AMH","Singelyn David P.","Chief Executive Officer",18702,"Sale",32.52,190000,6178800,410000,NA
"1884","AMH","Singelyn David P.","Chief Executive Officer",18703,"Sale",32.51,65636,2133826,344364,NA
"1885","ARTNA","WYER WILLIAM C","Director",18703,"Sale",41.72,6750,281601,18500,NA
"1886","BBY","Watson Mathew","SVP, Finance-Controller & CAO",18702,"Sale",113.88,567,64568,20189,NA
"1887","BBY","Scarlett Kathleen","Chief Human Resources Officer",18702,"Sale",113.88,1078,122758,62292,NA
"1888","BBY","Peterson Allison","Chief Customer Officer",18702,"Sale",113.88,433,49308,30027,NA
"1889","BBY","MOHAN RAJENDRA M","President & COO",18702,"Sale",113.88,4261,485226,155969,NA
"1890","BBY","Hartman Todd G.","GC, Chief Risk Officer",18702,"Sale",113.88,952,108410,28461,NA
"1891","BBY","Furman Matthew M","Chief Comm & Publ. Affairs Ofc",18702,"Sale",113.88,1019,116040,59252,NA
"1892","BBY","Barry Corie S","CEO",18702,"Sale",113.88,3598,409726,205371,NA
"1893","BBY","Alexander Whitney L","Chief Strategy Officer",18702,"Sale",113.88,968,110232,44782,NA
"1894","BBY","Bilunas Matthew M","Chief Financial Officer",18702,"Sale",113.88,809,92126,32350,NA
"1895","MRKR","New Enterprise Associates 16,","10% Owner",18702,"Buy",1.75,5714285,9999999,10714285,NA
"1896","ALVR","Leen Ann M.","Chief Scientific Officer",18702,"Sale",30,3025,90751,2459142,NA
"1897","RES","ROLLINS GARY W","Chairman and CEO",18702,"Sale",5.73,150000,859455,83180924,NA
"1898","RES","ROLLINS GARY W","Chairman and CEO",18703,"Sale",5.7,150000,855135,83030924,NA
"1899","CEVA","Arieli Yaniv","Chief Financial Officer",18702,"Sale",62,9197,570214,55617,NA
"1900","RES","LOR INC","10% Owner",18702,"Sale",5.73,150000,859455,83180924,NA
"1901","RES","LOR INC","10% Owner",18703,"Sale",5.7,150000,855135,83030924,NA
"1902","AMH","Smith Bryan","Chief Operating Officer",18702,"Sale",32.43,8078,261970,78462,NA
"1903","AMC","FRANK ELIZABETH F","EVP & CHIEF CONTENT OFFICER",18702,"Sale",13.56,40000,542400,173780,NA
"1904","FRME","Marhenke Michael C","Director",18704,"Sale",50,9000,450000,27023,NA
"1905","AMBA","EICHLER KEVIN C","CFO",18702,"Sale",112,3301,369712,48903,NA
"1906","AMBA","Day Christopher","VP, Marketing",18702,"Sale",112,5616,628992,16187,NA
"1907","AMBA","Day Christopher","VP, Marketing",18703,"Sale",109.74,4585,503180,11602,NA
"1908","AMBA","Kohn Leslie","Chief Technology Officer",18702,"Sale",112,22417,2510704,861695,NA
"1909","AMBA","Wang Feng-Ming","CEO",18702,"Sale",112,41838,4685856,599989,NA
"1910","AVID","Gayron Kenneth L","Chief Financial Officer & EVP",18703,"Sale",19.38,3000,58125,291570,NA
"1911","CBU","STEELE SALLY A","Director",18703,"Option Exercise",0,681,0,50743,NA
"1912","GNTY","Cowell Charles A.","Vice Chairman, EVP - GB&T",18703,"Option Exercise",20.91,10000,209100,26342,NA
"1913","TLYS","JOHNSON SETH R","Director",18703,"Sale",12.36,5000,61798,76897,NA
"1914","MDRR","Winn Charles Brent Jr.","Chief Financial Officer",18702,"Buy",2.19,2000,4378,36587,NA
"1915","MYE","COFFIN SARAH R","Director",18703,"Buy",19.52,1000,19525,30379,NA
"1916","RDFN","Wiener Adam","Chief Growth Officer",18702,"Option Exercise",8.61,6500,55965,297072,NA
"1917","RDFN","Wiener Adam","Chief Growth Officer",18702,"Sale",75.43,6500,490295,290572,NA
"1918","MYE","McGaugh Michael","President and CEO",18702,"Buy",19.84,2500,49612,64961,NA
"1919","CTSH","Frank Malcolm","President, Digital Business",18702,"Sale",78.45,471,36952,44065,NA
"1920","CHWY","Bowman Stacy","Principal Accounting Officer",18702,"Sale",87,11422,993714,77590,NA
"1921","VITL","Dale Jason","COO",18702,"Option Exercise",1.43,25000,35772,25246,NA
"1922","VITL","Dale Jason","COO",18702,"Sale",28.21,25000,705250,246,NA
"1923","MNRL","Keenan W Howard JR","Director",18702,"Sale",15.64,41826,654142,0,NA
"1924","MNRL","Keenan W Howard JR","Director",18703,"Sale",15.46,53700,830293,0,NA
"1925","BGFV","Thompson Luke D","Senior VP & General Counsel",18703,"Option Exercise",5.28,28050,148029,60508,NA
"1926","BGFV","Thompson Luke D","Senior VP & General Counsel",18703,"Sale",16.04,36508,585446,24000,NA
"1927","KIDS","Pritzker Jennifer N.","10% Owner",18947,"Buy",48.31,800,38648,7400,NA
"1928","KIDS","Pritzker Jennifer N.","10% Owner",18964,"Buy",38.98,300,11694,7700,NA
"1929","KIDS","Pritzker Jennifer N.","10% Owner",18965,"Buy",42.33,300,12699,8000,NA
"1930","PPBI","Nicolas Ronald J. Jr.","SEVP & CFO",18704,"Sale",46.64,5500,256520,27055,NA
"1931","DDS","WATTS J C JR","Director",18702,"Sale",91.38,500,45690,12100,NA
"1932","TYME","Demurjian Michael","10% Owner",18702,"Sale",2.21,20000,44282,24778546,NA
"1933","RXDX","Cormorant Asset Management, LP","Former 10% Owner",18702,"Buy",19,375000,7125000,2223022,NA
"1934","MPW","Hanna James Kevin","VP, Controller & CAO",18703,"Sale",21.32,33000,703560,69679,NA
"1935","APPH","LAIKIN ROBERT J","Director",18702,"Sale",23.19,162500,3768538,276635,NA
"1936","VOYA","Grubka Robert L.","CEO, Health Solutions",18702,"Option Exercise",37.6,27800,1045280,44939,NA
"1937","VOYA","Grubka Robert L.","CEO, Health Solutions",18702,"Sale",64.11,6251,400761,17139,NA
"1938","SNEX","Rotsztain Diego","Chief Governance/Legal Officer",18702,"Buy",63.68,1500,95520,2481,NA
"1939","MRKR","Wilson John Robert","Director",18702,"Buy",1.75,1714285,2999999,7799350,NA
"1940","FISV","Bisignano Frank","President and CEO",18702,"Option Exercise",36.54,503941,18414004,2692468,NA
"1941","MRKR","Vera Juan","Chief Development Officer",18702,"Buy",1.75,571428,999999,2564487,NA
"1942","RCUS","Grossman William","Chief Medical Officer",18702,"Sale",35.03,2127,74509,10850,NA
"1943","MRKR","Hoang Peter L.","President and CEO",18702,"Buy",1.75,142857,250000,332568,NA
"1944","AMD","Norrod Forrest Eugene","SVP & GM DESG",18702,"Option Exercise",8.84,65500,579344,398141,NA
"1945","AMD","Norrod Forrest Eugene","SVP & GM DESG",18702,"Sale",84.02,81500,6848027,316641,NA
"1946","RCUS","Jarrett Jennifer","Chief Operating Officer",18702,"Sale",35.03,8661,303394,116973,NA
"1947","AMC","CONNOR KEVIN M","SVP, GEN COUNSEL & SECRETARY",18702,"Sale",13.56,36179,490587,113323,NA
"1948","AMC","CONNOR KEVIN M","SVP, GEN COUNSEL & SECRETARY",18703,"Sale",13.6,36179,492034,77144,NA
"1949","MRKR","ELMS STEVE","Director",18702,"Buy",1.75,1142857,2e+06,3142857,NA
"1950","KIN","Bevers Denise","Director",18703,"Option Exercise",0.32,8396,2687,8396,NA
"1951","KIN","Bevers Denise","Director",18703,"Sale",5,8396,41997,0,NA
"1952","SHYF","GUILLAUME STEPHEN K","President, Specialty Chassis",18702,"Sale",40.54,3659,148350,61714,NA
"1953","ESTA","LEWIN NICHOLAS SHERIDAN","Director",18703,"Buy",59.97,350,20990,350,NA
"1954","EYE","Acharya Ravi","SVP, Chief Technology Officer",18702,"Option Exercise",0,896,0,896,NA
"1955","INOD","FORLENZA LOUISE C","Director",18703,"Sale",8.01,25000,200250,28858,NA
"1956","TTOO","Barclay Alec","Chief Operations Officer",18703,"Sale",1.86,12494,23239,74420,NA
"1957","TTOO","Pare Anthony","Chief Commercial Officer",18703,"Sale",1.84,9620,17701,31612,NA
"1958","INOD","ABUHOFF JACK","CEO",18702,"Option Exercise",2.75,255000,701250,1339047,NA
"1959","PHX","Edenbrook Capital, LLC","10% Owner",18702,"Buy",3,24103,72374,2634705,NA
"1960","PHX","Edenbrook Capital, LLC","10% Owner",18703,"Buy",3.04,10014,30424,2644719,NA
"1961","PHX","Edenbrook Capital, LLC","10% Owner",18704,"Buy",3,28681,86003,2673400,NA
"1962","FOUR","Searchlight Capital Partners I","10% Owner",18702,"Sale",90.98,2e+06,181965800,0,NA
"1963","ARE","Cain James P","Director",18702,"Sale",168.01,400,67204,4506,NA
"1964","PTON","Draft Howard C.","Director",18703,"Sale",105.8,15000,1586968,264167,NA
"1965","PTON","Draft Howard C.","Director",18703,"Sale",105.87,5000,529335,128695,NA
"1966","YEXT","Distelburger Brian","President & COO",18702,"Sale",16.17,10000,161736,3153653,NA
"1967","AXON","MCBRADY MATTHEW R","Director",18702,"Sale",147.38,911,134267,1174,NA
"1968","AXON","MCBRADY MATTHEW R","Director",18703,"Sale",148.05,340,50339,834,NA
"1969","CPB","Slavtcheff Craig","Executive Vice President",18703,"Sale",48.88,7000,342153,36810,NA
"1970","TFC","Powell Cynthia B","Corp. Controller, Exec VP",18702,"Sale",58.31,2201,128332,2133,NA
"1971","TFC","Powell Cynthia B","Corp. Controller, Exec VP",18703,"Sale",58.6,2133,124997,0,NA
"1972","PXD","Grillot Larry R.","Director",18703,"Sale",166.13,500,83067,11223,NA
"1973","KVHI","FEINGOLD FELISE","SVP/General Counsel",18702,"Sale",13.01,2300,29916,57114,NA
"1974","KVHI","FEINGOLD FELISE","SVP/General Counsel",18703,"Sale",12.6,30678,386652,57114,NA
"1975","DASH","Yandell Keith","Chief Business & Legal Officer",18702,"Option Exercise",3.28,40000,131200,359878,NA
"1976","KVHI","Baker Jennifer Louise","VP/Chief Accounting Officer",18703,"Sale",12.74,10861,138365,10863,NA
"1977","GCO","DICKENS MARTY G","Director",18704,"Sale",48,5000,240000,23807,NA
"1978","AMT","Puech Olivier","EVP & President, LatAm & EMEA",18702,"Sale",220,3268,718960,19531,NA
"1979","AMT","Puech Olivier","EVP & President, LatAm & EMEA",18703,"Sale",221.49,1211,268227,18320,NA
"1980","ADI","Cotter Martin","SVP, Ind, Consr, Multi-Markets",18703,"Sale",150.42,1557,234204,5908,NA
"1981","UNH","BURKE RICHARD T","Director",18702,"Sale",354.9,6000,2129419,1316500,NA
"1982","INSM","Lewis William","Chair and CEO",18702,"Option Exercise",3.4,50000,170000,229608,NA
"1983","INSM","Lewis William","Chair and CEO",18702,"Sale",36.19,50000,1809281,179608,NA
"1984","WDAY","DUFFIELD DAVID A","Director",18702,"Sale",257.43,108900,28033746,326700,NA
"1985","PXD","Hall Jerome D JR","EVP, Operations",18703,"Sale",163.35,3000,490050,50333,NA
"1986","GL","CARLSON DAVID KENDALL","Officer of Principal Sub.",18703,"Option Exercise",49.73,18000,895130,18000,NA
"1987","GL","CARLSON DAVID KENDALL","Officer of Principal Sub.",18703,"Sale",100.1,18000,1801881,0,NA
